period,base_trades,base_avg_bps,base_pf,base_win_rate,base_total_bps,base_symbols,base_breadth,stress_trades,stress_avg_bps,stress_pf,stress_win_rate,stress_total_bps,stress_symbols,stress_breadth
2024,22286,-15.460770111321338,0.7378048783104161,0.3830207305034551,-344558.7227009073,30,0.0,22286,-23.46077011132134,0.6335500229635446,0.35331598312842144,-522846.7227009074,30,0.0
2025H1,11474,-15.490382468536604,0.7208570366364738,0.39768171518215095,-177736.648443989,30,0.0,11474,-23.490382468536605,0.6113745775163499,0.36421474638312706,-269528.648443989,30,0.0
2025H2,11763,-11.038325401433253,0.7701737672670507,0.394117146986313,-129843.82169705935,30,0.03333333333333333,11763,-19.03832540143325,0.6408120669534274,0.3624075490946187,-223947.82169705935,30,0.0
2026H1,11336,-17.773296198673556,0.6238523394503311,0.36370853916725476,-201478.08570816342,30,0.0,11336,-25.773296198673556,0.5089622814914947,0.32701129146083274,-292166.08570816345,30,0.0
JULY2026,1373,-21.166887427201093,0.459672956642004,0.3211944646758922,-29062.136437547102,29,0.034482758620689655,1373,-29.166887427201093,0.34944263037881296,0.2658412235979607,-40046.1364375471,29,0.0
