config,symbol,side,signal_time,entry_time,exit_time,gross_bps,net_bps,stop_distance_bps,strength,reason,mae_bps,mfe_bps,period
BRK_L16_V0_H4_S1.5_T0,SOLUSDT,1,2024-01-01 09:30:00+00:00,2024-01-01 09:45:00+00:00,2024-01-01 10:45:00+00:00,82.69401287636313,70.69401287636313,114.50358357677497,0.6672845101744063,time,-16.673734531015285,119.8966806738877,2024
BRK_L16_V0_H4_S1.5_T0,SOLUSDT,1,2024-01-01 16:00:00+00:00,2024-01-01 16:15:00+00:00,2024-01-01 16:45:00+00:00,-126.54821713109166,-138.54821713109166,126.54821713109148,1.7977131670266093,stop,-145.59060514568344,48.71543149276736,2024
BRK_L16_V0_H4_S1.5_T0,SOLUSDT,1,2024-01-01 19:15:00+00:00,2024-01-01 19:30:00+00:00,2024-01-01 20:30:00+00:00,-5.061706807536481,-17.06170680753648,121.07218274697168,0.6003180898329066,time,-47.395981925105744,81.35543305202609,2024
BRK_L16_V0_H4_S1.5_T0,SOLUSDT,1,2024-01-02 00:45:00+00:00,2024-01-02 01:00:00+00:00,2024-01-02 02:00:00+00:00,54.64480874316946,42.64480874316946,119.84131103152107,1.1065627210873452,time,-1.8967619563747817,241.61134444293796,2024
BRK_L16_V0_H4_S1.5_T0,SOLUSDT,1,2024-01-02 09:00:00+00:00,2024-01-02 09:15:00+00:00,2024-01-02 10:15:00+00:00,65.38214737864311,53.38214737864311,115.46065897092868,0.49270421302342954,time,-36.940046131700434,154.17700005202707,2024
BRK_L16_V0_H4_S1.5_T0,SOLUSDT,1,2024-01-03 06:15:00+00:00,2024-01-03 06:30:00+00:00,2024-01-03 07:30:00+00:00,6.209705404269794,-5.790294595730206,115.7607034355571,1.1781862016290534,time,-73.6032728800251,40.54572352199859,2024
BRK_L16_V0_H4_S1.5_T0,SOLUSDT,1,2024-01-04 02:45:00+00:00,2024-01-04 03:00:00+00:00,2024-01-04 04:00:00+00:00,17.33857784030679,5.33857784030679,161.98307724952755,0.0902226372285352,time,-76.68605284798514,105.91394120736064,2024
BRK_L16_V0_H4_S1.5_T0,SOLUSDT,-1,2024-01-04 08:15:00+00:00,2024-01-04 08:30:00+00:00,2024-01-04 09:30:00+00:00,-5.170211471787756,-17.170211471787756,144.23030150825343,0.3907512964222657,time,-25.95243405445924,155.41047424018183,2024
BRK_L16_V0_H4_S1.5_T0,SOLUSDT,-1,2024-01-05 00:30:00+00:00,2024-01-05 00:45:00+00:00,2024-01-05 01:45:00+00:00,-13.73958645779938,-25.73958645779938,157.45738407536456,1.1936028136165007,time,-129.4617371868667,47.89503730007527,2024
BRK_L16_V0_H4_S1.5_T0,SOLUSDT,-1,2024-01-05 10:45:00+00:00,2024-01-05 11:00:00+00:00,2024-01-05 12:00:00+00:00,48.44283745180644,36.44283745180644,148.63681284438505,1.1538453796461208,time,-60.52857627999009,72.9139615253993,2024
