config,period,name,lookback,volume_z,hold,stop_atr,target_r,base_trades,base_avg_bps,base_pf,base_win_rate,base_total_bps,base_symbols,base_breadth,stress_trades,stress_avg_bps,stress_pf,stress_win_rate,stress_total_bps,stress_symbols,stress_breadth
BRK_L16_V0_H4_S2_T0,2024,BRK_L16_V0_H4_S2_T0,16,0.0,4,2.0,,22094,-15.400488825039208,0.744013353643451,0.39526568299085724,-340258.4001004163,30,0.0,22094,-23.400488825039208,0.6406772034946209,0.364261790531366,-517010.4001004163,30,0.0
BRK_L16_V0_H4_S2_T0,2025H1,BRK_L16_V0_H4_S2_T0,16,0.0,4,2.0,,11394,-16.757557758945243,0.7065637290759963,0.40802176584167105,-190935.6131054221,30,0.0,11394,-24.757557758945246,0.6005704532744299,0.3732666315604704,-282087.6131054221,30,0.0
BRK_L16_V0_H4_S2_T0,2025H2,BRK_L16_V0_H4_S2_T0,16,0.0,4,2.0,,11664,-10.010138985706709,0.790337516772361,0.406721536351166,-116758.26112928306,30,0.03333333333333333,11664,-18.01013898570671,0.6577516948884118,0.37362825788751713,-210070.26112928306,30,0.0
BRK_L16_V0_H4_S2_T0,2026H1,BRK_L16_V0_H4_S2_T0,16,0.0,4,2.0,,11272,-17.881137554065237,0.6272802823917607,0.37606458481192334,-201556.18250942335,30,0.0,11272,-25.881137554065237,0.5127688231369637,0.3372959545777147,-291732.18250942335,30,0.0
BRK_L16_V0_H4_S2_T0,JULY2026,BRK_L16_V0_H4_S2_T0,16,0.0,4,2.0,,1364,-22.106455853059824,0.4510908661269295,0.3291788856304985,-30153.205783573598,29,0.0,1364,-30.106455853059824,0.34384349346664994,0.27126099706744866,-41065.2057835736,29,0.0
BRK_L16_V0_H4_S2_T3,2024,BRK_L16_V0_H4_S2_T3,16,0.0,4,2.0,3.0,22138,-15.228630603789028,0.7475663678724623,0.3953835034781823,-337131.4243066815,30,0.0,22138,-23.22863060378903,0.6442168605879902,0.36444123227030445,-514235.4243066815,30,0.0
BRK_L16_V0_H4_S2_T3,2025H1,BRK_L16_V0_H4_S2_T3,16,0.0,4,2.0,3.0,11401,-16.304075722468,0.7144882616631832,0.40820980615735464,-185882.76731185766,30,0.0,11401,-24.304075722468,0.6078600376581593,0.3733882992719937,-277090.76731185766,30,0.0
BRK_L16_V0_H4_S2_T3,2025H2,BRK_L16_V0_H4_S2_T3,16,0.0,4,2.0,3.0,11701,-14.796283343729856,0.712134505548611,0.4059482095547389,-173131.31140498305,30,0.0,11701,-22.796283343729858,0.5949826716995902,0.37295957610460645,-266739.31140498305,30,0.0
BRK_L16_V0_H4_S2_T3,2026H1,BRK_L16_V0_H4_S2_T3,16,0.0,4,2.0,3.0,11294,-17.639971594294323,0.6326240734516668,0.3761289180095626,-199225.83918596007,30,0.0,11294,-25.639971594294327,0.5176591200443253,0.33770143438994155,-289577.8391859601,30,0.0
BRK_L16_V0_H4_S2_T3,JULY2026,BRK_L16_V0_H4_S2_T3,16,0.0,4,2.0,3.0,1366,-22.53448462948741,0.44331422893561956,0.328696925329429,-30782.106003879802,29,0.0,1366,-30.53448462948741,0.3375436858202522,0.2708638360175695,-41710.1060038798,29,0.0
